,HMDB,Method
C8p_QI15,HMDB0011506,C8-pos
C8p_QI151,HMDB0005435,C8-pos
C8p_QI153,HMDB0005433,C8-pos
C8p_QI155,HMDB0005377,C8-pos
C8p_QI157,HMDB0005360,C8-pos
C8p_QI159,HMDB0005357,C8-pos
C8p_QI16,HMDB0011130,C8-pos
C8p_QI161,HMDB0011701,C8-pos
C8p_QI163,HMDB0005362,C8-pos
C8p_QI165,HMDB0042104,C8-pos
C8p_QI167,HMDB0031106,C8-pos
C8p_QI17,HMDB0011517,C8-pos
C8p_QI170,HMDB0005436,C8-pos
C8p_QI172,HMDB0005380,C8-pos
C8p_QI174,HMDB0005363,C8-pos
C8p_QI176,HMDB0005384,C8-pos
C8p_QI178,HMDB0005369,C8-pos
C8p_QI18,HMDB0011511,C8-pos
C8p_QI180,HMDB0005367,C8-pos
C8p_QI182,HMDB0005365,C8-pos
C8p_QI184,HMDB0043058,C8-pos
C8p_QI187,HMDB0005391,C8-pos
C8p_QI189,HMDB0005385,C8-pos
C8p_QI19,HMDB0011520,C8-pos
C8p_QI191,HMDB0005370,C8-pos
C8p_QI193,HMDB0005405,C8-pos
C8p_QI195,HMDB0005403,C8-pos
C8p_QI197,HMDB0005395,C8-pos
C8p_QI198,HMDB0042466,C8-pos
C8p_QI199,HMDB0042226,C8-pos
C8p_QI20,HMDB0007869,C8-pos
C8p_QI200,HMDB0005462,C8-pos
C8p_QI201,HMDB0005456,C8-pos
C8p_QI203,HMDB0005398,C8-pos
C8p_QI205,HMDB0005410,C8-pos
C8p_QI207,HMDB0005404,C8-pos
C8p_QI209,HMDB0005396,C8-pos
C8p_QI21,HMDB0007873,C8-pos
C8p_QI212,HMDB0000067,C8-pos
C8p_QI214,,C8-pos
C8p_QI22,HMDB0007871,C8-pos
C8p_QI23,HMDB0008006,C8-pos
C8p_QI24,HMDB0007973,C8-pos
C8p_QI25,HMDB0007972,C8-pos
C8p_QI26,HMDB0007970,C8-pos
C8p_QI27,HMDB0007983,C8-pos
C8p_QI28,HMDB0008138,C8-pos
C8p_QI29,HMDB0008105,C8-pos
C8p_QI30,HMDB0008039,C8-pos
C8p_QI31,HMDB0008038,C8-pos
C8p_QI33,HMDB0008048,C8-pos
C8p_QI35,HMDB0008270,C8-pos
C8p_QI36,HMDB0011212,C8-pos
C8p_QI37,HMDB0011210,C8-pos
C8p_QI38,HMDB0011208,C8-pos
C8p_QI39,HMDB0011220,C8-pos
C8p_QI40,HMDB0011310,C8-pos
C8p_QI41,HMDB0011243,C8-pos
C8p_QI42,HMDB0011241,C8-pos
C8p_QI43,HMDB0011252,C8-pos
C8p_QI63,HMDB0006725,C8-pos
C8p_QI64,HMDB0000658,C8-pos
C8p_QI66,HMDB0000885,C8-pos
C8p_QI68,HMDB0010370,C8-pos
C8p_QI70,HMDB0000610,C8-pos
C8p_QI72,HMDB0000918,C8-pos
C8p_QI74,HMDB0010368,C8-pos
C8p_QI76,HMDB0006731,C8-pos
C8p_QI78,HMDB0006726,C8-pos
C8p_QI80,HMDB0006736,C8-pos
C8p_QI82,HMDB0006733,C8-pos
C8p_QI84,HMDB0010375,C8-pos
C8p_QI86,HMDB0006729,C8-pos
